page,id,title,main_reference_number,has_not_been_viewed_much,date_start,date_end,date_display,artist_display,place_of_origin,exhibition_history,colorfulness,department_title,artist_title,style_title,classification_title
1,10550,The Dance,1932.52,False,1745.0,1755.0,c. 1750,"Pietro Longhi
Italian, 1702–1785",Italy,,19.3809,Painting and Sculpture of Europe,Pietro Longhi,,oil on canvas
1,9614,Haunted House,1931.707,False,1930.0,1930.0,1930,"Morris Kantor
American, born Russia (now Belarus), 1896–1974",United States,"Art Institute of Chicago, Forty–Fourth Annual Exhibition of American Paintings and Sculpture, Oct 29–Dec 13, 1931, cat. 97, pl. 97 (Mr. and Mrs. Frank G. Logan Medal).

Art Institute of Chicago, Paintings by Morris Kantor, Dec 22, 1931–Jan 17, 1932, no cat.

Art Institute of Chicago, A Century of Progress Exhibition of Paintings and Sculpture, Jun 1–Nov 1, 1933, cat. 573.

Art Institute of Chicago, A Century of Progress Exhibition of Paintings and Sculpture, Jun 1–Nov 1, 1934, cat. 601.

New York, The Buffalo Fine Arts Academy, Albright Art Gallery, Art of Today, Jan 3–31, 1936. Late loan, not in catalogue but confirmed by archival documentation.

Art Institute of Chicago, Half a Century of American Art, Nov 16, 1939–Jan 7, 1940, cat. 88, pl. XLVII.

New York, Museum of Modern Art, Romantic Painting in America, Nov 15, 1943–Feb 16, 1944, ; Milwaukee Art Institute, Mar 3–31, 1944; Northampton, Massachusetts, Smith College Museum of Art, Apr 15–Jun 20, 1944; San Francisco Museum of Art, Aug 15–Sep 17, 1944; Oregon, Portland Art Museum, Oct 1–29, 1944; Seattle Art Museum, Nov 10–Dec 10, 1944; City Museum of St. Louis, Jan 2–30, 1945; University Gallery, University of Minnesota, Feb 13–Mar 13, 1945; St. Paul Gallery and School of Art, Apr 1–29, 1945, cat. 19, ill.

Ohio, Columbus Gallery of Fine Arts, Twelve Contemporary Americans, Oct 4–Nov 13, 1945, unnumbered checklist.

London, The Tate Gallery, American Painting for the Eighteenth Century to the Present Day, Jun–Jul 1946, cat. 126.

Iowa, Davenport Municipal Art Gallery, Morris Kantor Retrospective, Jun 3–27, 1965, cat. 4.

Columbus, Ohio State University, America, Oct 13–31, 1968, no cat.

Reno, Sierra Nevada Museum of Art, 1931 America: The Artist’s View, Sep 12–Oct 30, 1982, San Diego State University, Nov 20–Dec 18, 1982, unnumbered checklist.

Art Institute of Chicago, America After the Fall: Painting in the 1930s, Jun 5–Sep 18, 2016; Paris, Musee de l'Orangerie, Oct 15, 2016–Jan 30, 2017; London, Royal Academy, Feb 25–Jun 4, 2017, cat. 28.

Toledo, OH, Toledo Museum of Art, Supernatural America: The Paranormal in American Art, Jun 12–Sept 5, 2021; Louisville, KY, Speed Art Museum, Oct 7, 2021–Jan 2, 2022; Minneapolis, MN, Minneapolis Insittute of Art, Feb 19–May 15, 2022.",29.541,Arts of the Americas,Morris Kantor,Surrealism,oil on canvas
1,16571,"Arrival of the Normandy Train, Gare Saint-Lazare",1933.1158,False,1877.0,1877.0,1877,"Claude Monet
French, 1840-1926",France,"Paris, 6, rue Le Peletier, 3e exposition de peinture [third Impressionist exhibition], Apr. 1877, cat. 97, as Arrivée du train de Normandie, gare St-Lazare, appartient à M. H . . . .

Paris, Galerie Georges Petit, 6e exposition international e de peinture et de sculpture, May 8–June 8, 1887, no cat. no. 

Paris, Galerie Georges Petit, Claude Monet—A. Rodin, June 21–Sept. 21, 1889, cat. 33, as Gare Saint-Lazare. 1877. Appartient à M. de Bellio. 

Paris, Grand Palais des Champs-Élysées, Exposition Universelle de 1900, L’exposition centennale de l’art français de 1800 a 1889, May 1–Nov. 12, 1900, cat. 484, as Le Train de Normandie (à M. Alexandre Bernheim jeune [sic]). 

Brussels, Libre Esthétique, Exposition des peintres impressionnistes, Feb. 25–Mar. 29, 1904, cat. 98, as La Gare Saint-Lazare. Exposition centennale, 1900. Appartient à MM. J. et G. Bernheim jeune [sic].

New York, Durand-Ruel, Monet, Dec. 2–23, 1911, cat. 8. 

Art Institute of Chicago, “A Century of Progress”: Loan Exhibition of Paintings and Sculpture, May 23–Nov. 1, 1933, cat. 299.

Art Institute of Chicago, “A Century of Progress”: Loan Exhibition of Paintings and Sculpture for 1934, June 1–Oct. 31, 1934, cat. 219. 

Boston, Museum of Fine Arts, Independent Painters of Nineteenth Century Paris, Mar. 15–Apr. 28, 1935, cat. 32.

New York World’s Fair, European & American Paintings, 1500–1900: Masterpieces of Art, May–Oct. 1940, cat. 322.

Dayton (Ohio) Art Institute, The Railroad in Painting: An Exhibition of Paintings Shown at the Dayton Art Institute, Apr. 19–May 22, 1949, cat. 50 (ill.).

Cambridge, Massachusetts Institute of Technology, Charles Hayden Memorial Library, The Painter and the City, May 8–June 15, 1950, no cat. no. (ill.).

Philadelphia Museum of Art, Diamond Jubilee Exhibition: Masterpieces of Painting, Nov. 3, 1950–Feb. 11, 1951, cat. 70 (ill.). 

Paris, Musée de l’Orangerie, De David à Toulouse-Lautrec: Chefs-d’oeuvres des collections américaines, Apr. 20–July 3, 1955, cat. 42 (ill.). 

Art Institute of Chicago, The Paintings of Claude Monet, Apr. 1–June 15, 1957, no cat. no. 

Munich, Haus der Kunst München, Französische Malerei des 19. Jahrhunderts: Von David bis Cézanne, Oct. 7, 1964–Jan. 6, 1965, cat. 191 (ill.).

Minneapolis Institute of Arts, The Past Rediscovered: French Painting, 1800–1900, July 3–Sept. 7, 1969, cat. 60 (ill.).

New York, Wildenstein and Company, “One Hundred Years of Impressionism:” A Tribute to Durand-Ruel, Apr. 2–May 9, 1970, cat. 37 (ill.).

Art Institute of Chicago, Paintings by Monet, Mar. 15–May 11, 1975, cat. 42 (ill.). 

Art Institute of Chicago, Art at the Time of the Centennial, June 19–Aug. 8, 1976, no cat. 

Washington, D.C., National Gallery of Art, Manet and Modern Paris, Dec. 5, 1982–Mar. 6, 1983, cat. 14 (ill.).

Los Angeles County Museum of Art, A Day in the Country: Impressionism and the French Landscape, June 28–Sept. 16, 1984, cat. 32 (ill.); Art Institute of Chicago, Oct. 23, 1984–Jan. 6, 1985; Paris, Galeries Nationales, Grand Palais, as L’impressionnisme et le paysage français, Feb. 4–Apr. 22, 1985, cat. 70 (ill.).

Washington, D.C., National Gallery of Art, The New Painting: Impressionism, 1874–1886, Jan. 17–Apr. 6, 1986, cat. 51 (ill.); Fine Arts Museums of San Francisco and M. H. de Young Memorial Museum, Apr. 19–July 6, 1986.

Art Institute of Chicago, Chicago’s Dream, a World’s Treasure: The Art Institute of Chicago, 1893–1993, Nov. 1, 1993–Jan. 9, 1994, not in cat. 

Nagaoka, Niigata Prefectural Museum of Modern Art, Shikago bijutsukan ten: Kindai kaiga no 100-nen [Masterworks of modern art from the Art Institute of Chicago], Apr. 20–May 29, 1994, cat. 7 (ill.); Nagoya, Aichi Prefectural Museum of Art, June 10–July 24, 1994; Yokohama Museum of Art, Aug. 6–Sept. 25, 1994.

Art Institute of Chicago, Claude Monet, 1840–1926, July 22–Nov. 26, 1995, cat. 50 (ill.).

Vienna, Österreichische Galerie, Claude Monet, Mar. 14–June 16, 1996, cat. 24 (ill.).

Copenhagen, Ordrupgaard, Impressionister i byen, Sept. 6–Dec. 1, 1996, cat. 44 (ill.).

Paris, Musée d’Orsay, Manet, Monet and the Gare Saint-Lazare, Feb. 9–May 17, 1998, cat. 47 (ill.); Washington, D.C., National Gallery of Art, June 14–Sept. 20, 1998.

Florence, Sala Bianca di Palazzo Pitti, Claude Monet: La poesia della luce; Sette capolavori dell’Art Institute di Chicago a Palazzo Pitti, June 2–Aug. 29, 1999, no cat. no. (ill.).

Moscow, State Pushkin Museum of Fine Arts, Klod Mone [Claude Monet], Nov. 26, 2001–Feb. 21, 2002, cat. 17 (ill.), Saint Petersburg, State Hermitage Museum, May 1–15, 2002. 

New York, Wildenstein and Company, Claude Monet (1840–1926): A Tribute to Daniel Wildenstein and Katia Granoff, April 27–June 15, 2007, cat. 21 (ill.).

Fort Worth, Tex., Kimbell Art Museum, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–Nov. 2, 2008, cat. 17 (ill.).

Paris, Galeries Nationales, Grand Palais, Claude Monet, 1840–1926, Sept. 22, 2010–Jan. 24, 2011, cat. 44 (ill.).

Munich, Städel Museum, Monet and the Birth of Impressionism, March 11-June 21, 2015, cat. 85.

Art Institute of Chicago, John Singer Sargent and Chicago's Gilded Age, June 27-Septembet 30, 2018.

Toronto, Art Gallery of Ontario, Impressionism in the Age of Industry, February 16 - May 5 2019

Art Institute of Chicago, Monet and Chicago, September 5, 2020-June 14, 2021, cat. 18.",13.9542,Painting and Sculpture of Europe,Claude Monet,Impressionism,painting
1,11312,Woman Mending,1959.636,False,1895.0,1895.0,1895,"Camille Pissarro
French, 1830-1903",France,"Copenhagen, Valdemar Kleis, Katalog over Martsudstillingen (1886–1911), Mar. 1911, cat. 34.

London, Stafford Gallery, Pictures by Camille Pissarro, from Oct. 13, 1911, cat. 11.

Zurich, Switzerland, Moderne Galerie, Camille Pissarro, July 11–Aug. 31, 1913, cat. 7.

Paris, Galerie de l’Élysée, C. Pissarro: Des peintures et des pastels de 1880 à 1900 environ, Apr. 23–May 5, 1948, no cat.

Chicago, Mr. and Mrs. Leigh Block, Oct. 19, 1976–May 20, 1977, no cat.

Tokyo, Seibu Museum of Art, Shikago bijutsukan insho-ha ten [The impressionist tradition: Masterpieces from the Art Institute of Chicago], Oct. 18–Dec. 17, 1985, cat. 49 (ill.); Fukuoka Art Museum, Jan. 5–Feb. 2, 1986; Kyoto Municipal Museum of Art, Mar. 4–Apr. 13, 1986.

Art Gallery of New South Wales, Camille Pissarro, Nov 19, 2005–Feb. 19, 2006, cat. 98 (ill.); Melbourne, National Gallery of Victoria, Mar. 4–May 28, 2006.",17.9159,Painting and Sculpture of Europe,Camille Pissarro,Post-Impressionism,oil on canvas
1,21727,Thanksgiving,1935.313,False,1935.0,1935.0,c. 1935,"Doris Lee
American, 1905–1983",United States,"Washington, DC, Corcoran Gallery of Art, Fourteenth Biennial Exhibition of Contemporary American Oil Paintings, Mar 24–May 5, 1935, cat. 220.

Art Institute of Chicago, Forty–Sixth Annual Exhibition of American Paintings and Sculpture, Oct 24–Dec 8, 1935, cat. 123.

Art Institute of Chicago, Half a Century of American Art, Nov 16–Jan 7, 1940, cat. 101.

Montclair Art Museum, NJ, America Yesterday and Today, Jan 2–26, 1941, cat. 35.

Worcester Art Museum, MA, A Decade of American Painting: 1930–1940, Feb 18–Mar 22, 1942, p. 18.

Brussels, Galerie Georges Giroux, L’Exposition d’art Américain contemporain, Mar 20–Apr 10, 1948, cat. 60.

Coral Gables, FL, Miami University Art Gallery, Sep 29–Nov 15, 1950, no. cat.

Dallas Museum of Fine Arts, Famous Paintings and Famous Painters, Oct 4–Nov 2, 1958, cat. 21.

Denver Art Museum, The American Panorama, Mar 17–May 27, 1968, no cat.

Columbus, OH, Ohio State University Art Gallery, America, ca. 1930, Oct 12–31, 1968, no cat.

Poughkeepsie, NY, Vassar College Art Gallery, Seven American Women: The Depression Decade, Jan 19–Mar 5, 1976, cat. 52.

Wichita Art Museum, The Neglected Generation of American Realist Painters: 1930–1948, May 3–Jun 14, 1981, fig. 27.

Roslyn Harbor, NY, Nassau County Museum of Art, American Realism Between the Wars: 1919–1941, Apr 10–Jun 5, 1994, pp. 18–21, 61, fig. 21.

Art Institute of Chicago, Art and Appetite: American Painting, Culture, and Cuisine, Nov 10, 2013–Jan 27, 2014, cat. 32; Fort Worth, Amon Carter Museum of American Art, Feb 22–May 18, 2014.

Art Institute of Chicago, America After the Fall: Painting in the 1930s, Jun 5–Sep 18, 2016, cat. 30; Paris, Musée de l'Orangerie, Oct 15, 2016–Jan 30, 2017; London, Royal Academy, Feb 25–Jun 4, 2017.

Shanghai Museum, Pathways to Modernism: American Art, 1865–1945, Sep 28, 2018–Jan 6, 2019, cat. 61.

Greensburg, PA, Westmoreland Museum of American Art, Simple Pleasures: The Art of Doris Lee, Sept 26, 2021–Jan 9, 2022, cat.; Davenport, IA, Figge Art Museum, Feb 5–May 8, 2022; Vero Beach, FL, Vero Beach Museum of Art, Jun 5–Sept 18, 2022; Memphis, TN, Dixon Gallery and Gardens, Oct 30, 2022–Jan 15, 2023 (Greensburg, Davenport, and Vero Beach only).",30.1231,Arts of the Americas,Doris Lee,Modernism,painting
1,21678,Foliate Bowl with Stylized Peony Spray,1964.847,False,1100.0,1127.0,"Northern Song dynasty (960–1127), 12th century",China,China,,8.9398,Arts of Asia,,Chinese (culture or style),bowl
1,25812,Bullfight,1937.1019,False,1865.0,1866.0,1865/66,"Édouard Manet
French, 1832-1883",France,,34.4734,Painting and Sculpture of Europe,Édouard Manet,Impressionism,oil on canvas
1,24306,Blue and Green Music,1969.835,False,1919.0,1921.0,1919/21,"Georgia O'Keeffe
American, 1887–1986",United States,"Art Institute of Chicago, Georgia O’Keeffe, Jan 21–Feb 22, 1943, cat. by Daniel Catton Rich, no. 5, p. 11.

New York, Whitney Museum of Art, Georgia O’Keeffe Retrospective Exhibition, Oct 8–Nov 29, 1970, no. 23; the Art Institute of Chicago, Jan 1–Feb 7, 1971; San Francisco Museum of Art, Feb or Mar?–Apr 30, 1971.

London, Tate Gallery, Abstraction: Towards a New Art, Painting 1910–20, Feb 5–Apr 13, 1980, cat. 438.

London, Hayward Gallery, Georgia O'Keeffe: American and Modern, Apr 8–Jun 22, 1993; Mexico City, Palacio de Bellas Artes, Jul 15–Oct 1, 1993.

San Antonio, Texas, Marion Koogler McNay Art Museum, O'Keeffe and Texas, Jan 27–Apr 5, 1998.

Washington, DC, National Gallery of Art, Alfred Stieglitz and Modern Art in America, Jan 28–Apr 22, 2001.

Paris, Centre Georges Pompidou, Sounds and Lights, Sep 22–Jan 3, 2005. 

Washington, DC, Hirshhorn Museum and Sculpture Garden, Visual Music, 1905–2005; Museum of Contemporary Art, Los Angeles, Feb 13–May 22, 2005, Hirshhorn Museum and Sculpture Garden, Jun 23–Sep 11, 2005.

Whitney Museum of American Art, Georgia O'Keeffe: Abstraction, Sep 17, 2009–Jan 17, 2010; Washington DC, Phillips Collection, Feb 6–May 9, 2012; Santa Fe, Georgia O'Keeffe Museum, May 28–Sep 12, 2010 (New York only).

London, Tate Modern, Georgia O'Keeffe, Jul 6–Oct 30, 2016; Vienna, Bank Austria Kunstforum Wien, Dec 7, 2016–Mar 26, 2017; Toronto, Art Gallery of Ontario, Apr 22–Jul 30, 2017 (London only) cat. 28.

Cologne, Germany, Wallraf-Richartz-Museum, Es war einmal in Amerika – 300 Jahre US-amerikanische Kunst [Once Upon a Time in America: Three Centuries of American Art], Nov 23, 2018–Mar 24, 2019, cat. 105.

Madrid, Museo Nacional Thyssen-Bornemisza, Georgia O'Keeffe, Apr 20–Aug 8, 2021, cat. 19 (ill.); Paris, Centre Georges Pompidou, Sept 8–Dec 6, 2021; Basel, Fondation Beyeler, Jan 23–May 22, 2022.",32.818,Arts of the Americas,Georgia O'Keeffe,Modernism,oil on canvas
1,34181,Time Transfixed,1970.426,False,1938.0,1938.0,1938,"René Magritte
Belgian, 1898–1967",Belgium,"Brussels, Palais des Beaux-Arts, René Magritte, May 13–24, 1939, cat. 2.

New York, Museum of Modern Art, Réne Magritte, December 15, 1965–February 27, 1966, no. 38, p. 37 (ill.); traveled to Waltham, Massachusetts, Rose Art Museum, Brandeis University, April 3–May 1, 1966; Chicago, Art Institute, May 30–July 3, 1966; Pasadena, Art Museum, August 1–September 4, 1966; Berkley, University Art Museum, October 1–November 1, 1966.

London, Tate Gallery, René Magritte, February 14–April 2, 1969, no. 62, p. 81 (ill.).

London, Hayward Gallery, Southbank Centre, Rene Magritte, May 19–August 2, 1992; traveled to New York, Metropolitan Museum of Art, September 9–November 22, 1992; Houston, Menil Collection, December 15, 1992–February 21, 1993; and Chicago, Art Institute, March 16–May 30, 1993.

Brussels, Musées Royaux des Beaux Arts de Belgique, Réne Magritte, March 6–June 28, 1998.

Paris, Centre Georges Pompidou, La Revolution Surrealiste, February 27–June 24, 2003; traveled to Dusseldorf, Kunstsammlung Nordrhein-Westfallen, July 20–November 24, 2002.

Los Angeles County Museum of Art, René Magritte and Contemporary Art: The Treachery of Images, December 10, 2006–March 4, 2007, pg. 146 (ill.).

Kansas City, Nelson-Atkins Museum of Art, Art in the Age of Steam: Europe, America and the Railway, 1830–1960, September 13, 2008–January 18, 2009. 

Liverpool, Tate Liverpool, René Magritte: The Pleasure Principle, June 24, 2011-Febuary 26, 2012. 

New York, Museum of Modern Art, Magritte: The Mystery of the Ordinary, 1926-1938, September 28, 2013-January 12, 2014, no. 126; traveled to Houston, The Menil Collection, February 14-June 1, 2014, and Chicago, Art Institute, June 24-October 13, 2014.

Paris, Centre Georges Pompidou, Magritte, la trahison des images, September 21, 2016–January 23, 2017, no cat. no., Frankfurt, Schirn Kunsthalle, Feb. 10–June 5, 2017 (Paris only).",33.7618,Modern Art,René Magritte,Surrealism,oil on canvas
1,28631,"Man Holding a Sheep, Flutist, and Heads",1968.14R,False,1967.0,1968.0,"January 11–12, 1967","Pablo Picasso
Spanish, 1881-1973",Spain,"The Art Institute of Chicago, ""Picasso in Chicago,"" February 3–March 31, 1968, pp. 90 and 117, cat. 106 (ill.).

Peoria, Ill., Peoria Art Museum, ""Pablo Picasso,"" October 15–November 25, 1969.

Cambridge, Fogg Art Museum, Harvard University, ""Master Drawings by Picasso,"" 1981, p. 255, nos. 29a and 29b; shown only at The Art Institute of Chicago, April 29–June 14, 1981.

New York, Pace Gallery, ""Je suis le cahier: The Sketchbooks of Pablo Picasso,"" 1986, hors cat.; shown only at The Art Institute of Chicago, July 10–August 23, l987.

Málaga, Spain, Palacio Episocal, ""Picasso Clasico,"" October 9, 1992–January 11, 1993, cat. 98 (ill.).

Art Institute of Chicago, ""Picasso and Chicago"", February 20-May 12, 2013, hors cat.

New York City, Acquavella Galleries, Inc., ""Picasso: Seven Decades of Drawings"", October 7 - December 3, 2021.",41.2605,Prints and Drawings,Pablo Picasso,Cubism,crayon
